               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.058501,            0.020261,                   0,             0.36941,             0.66667,             0.54315,             0.17962,            0.041825,            0.014286,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.059961,            0.019595,                   0,             0.36941,             0.66667,             0.54315,             0.17962,            0.041825,            0.014286,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.062301,            0.026855,                   0,             0.71988,                   1,                0.83,             0.20188,            0.040973,            0.014459,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.054627,            0.021043,                   0,             0.71988,                   1,                0.83,             0.20188,            0.040973,            0.014459,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.057925,            0.022829,                   0,             0.71988,                   1,                0.83,             0.20188,            0.040973,            0.014459,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.063932,            0.021958,                   0,             0.71988,                   1,                0.83,             0.20188,            0.040973,            0.014459,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.051545,             0.02258,                   0,              0.2271,                   1,             0.26397,            0.088997,            0.041775,            0.014393,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.060242,            0.025089,                   0,              0.2271,                   1,             0.26397,            0.088997,            0.041775,            0.014393,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.059425,            0.019706,                   0,              0.2271,                   1,             0.26397,            0.088997,            0.041775,            0.014393,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.060435,            0.027292,                   0,              0.2271,                   1,             0.26397,            0.088997,            0.041775,            0.014393,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.064575,            0.020753,                   0,             0.74736,                   1,               0.995,             0.20249,            0.040824,            0.014396,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.058242,            0.021049,                   0,             0.74736,                   1,               0.995,             0.20249,            0.040824,            0.014396,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.057899,             0.01659,                   0,             0.74736,                   1,               0.995,             0.20249,            0.040824,            0.014396,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.061969,            0.022032,                   0,             0.74736,                   1,               0.995,             0.20249,            0.040824,            0.014396,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,             0.05544,            0.022149,                   0,             0.64942,                   1,               0.995,             0.29814,            0.040164,            0.014268,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.054218,            0.022188,                   0,             0.64942,                   1,               0.995,             0.29814,            0.040164,            0.014268,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.055098,            0.024993,                   0,             0.64942,                   1,               0.995,             0.29814,            0.040164,            0.014268,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,             0.05621,             0.01957,                   0,             0.64942,                   1,               0.995,             0.29814,            0.040164,            0.014268,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.063503,            0.020483,                   0,              0.6946,             0.66667,             0.80643,             0.18937,            0.043821,            0.013888,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.049116,            0.021584,                   0,              0.6946,             0.66667,             0.80643,             0.18937,            0.043821,            0.013888,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.057685,              0.0237,                   0,              0.6946,             0.66667,             0.80643,             0.18937,            0.043821,            0.013888,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.060389,            0.021183,                   0,              0.6946,             0.66667,             0.80643,             0.18937,            0.043821,            0.013888,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,             0.06122,            0.017909,                   0,             0.95079,                   1,               0.995,             0.28073,             0.03965,            0.013721,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.057074,            0.022359,                   0,             0.95079,                   1,               0.995,             0.28073,             0.03965,            0.013721,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.056291,            0.016807,                   0,             0.95079,                   1,               0.995,             0.28073,             0.03965,            0.013721,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.059036,            0.018617,                   0,             0.95079,                   1,               0.995,             0.28073,             0.03965,            0.013721,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,             0.05918,            0.021243,                   0,             0.70735,                   1,              0.9125,             0.36653,             0.04106,            0.013409,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.052931,            0.021835,                   0,             0.70735,                   1,              0.9125,             0.36653,             0.04106,            0.013409,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.051109,              0.0137,                   0,             0.70735,                   1,              0.9125,             0.36653,             0.04106,            0.013409,                   0,           0.0069112,           0.0069112,           0.0069112
